data_hora,moeda,preco
16/06/2026 19:04:25,USD,5.1031
16/06/2026 19:04:25,EUR,5.92066
16/06/2026 19:04:25,BTC,335048.0
16/06/2026 19:04:31,USD,5.1031
16/06/2026 19:04:31,EUR,5.92066
16/06/2026 19:04:31,BTC,335048.0
16/06/2026 19:04:36,USD,5.1031
16/06/2026 19:04:36,EUR,5.92066
16/06/2026 19:04:36,BTC,335048.0
16/06/2026 19:04:42,USD,5.1031
16/06/2026 19:04:42,EUR,5.92066
16/06/2026 19:04:42,BTC,335048.0
16/06/2026 19:04:47,USD,5.1031
16/06/2026 19:04:47,EUR,5.92066
16/06/2026 19:04:47,BTC,335048.0
16/06/2026 19:11:19,USD,5.1031
16/06/2026 19:11:19,EUR,5.92066
16/06/2026 19:11:19,BTC,335048.0
16/06/2026 19:11:25,USD,5.1029
16/06/2026 19:11:25,EUR,5.92066
16/06/2026 19:11:25,BTC,335032.0
16/06/2026 19:11:30,USD,5.1029
16/06/2026 19:11:30,EUR,5.92066
16/06/2026 19:11:30,BTC,335032.0
16/06/2026 19:11:36,USD,5.1029
16/06/2026 19:11:36,EUR,5.92066
16/06/2026 19:11:36,BTC,335032.0
16/06/2026 19:11:42,USD,5.1029
16/06/2026 19:11:42,EUR,5.92066
16/06/2026 19:11:42,BTC,335032.0
16/06/2026 19:11:48,USD,5.1029
16/06/2026 19:11:48,EUR,5.92066
16/06/2026 19:11:48,BTC,335032.0
16/06/2026 19:11:53,USD,5.1029
16/06/2026 19:11:53,EUR,5.92066
16/06/2026 19:11:53,BTC,335032.0
16/06/2026 19:11:59,USD,5.1029
16/06/2026 19:11:59,EUR,5.92066
16/06/2026 19:11:59,BTC,335032.0
16/06/2026 19:12:05,USD,5.1029
16/06/2026 19:12:05,EUR,5.92066
16/06/2026 19:12:05,BTC,335032.0
16/06/2026 19:12:10,USD,5.1029
16/06/2026 19:12:10,EUR,5.92066
16/06/2026 19:12:10,BTC,335032.0
16/06/2026 19:12:16,USD,5.1029
16/06/2026 19:12:16,EUR,5.92066
16/06/2026 19:12:16,BTC,335032.0
16/06/2026 19:12:21,USD,5.1029
16/06/2026 19:12:21,EUR,5.92066
16/06/2026 19:12:21,BTC,335032.0
16/06/2026 19:12:27,USD,5.1029
16/06/2026 19:12:27,EUR,5.92066
